task,model,selection_case,seed,seed_slot,error_key,selected_error,summary_best_point_raw,summary_best_point,curve_n_points,curve_first_epoch,curve_first_value,curve_mid_epoch,curve_mid_value,curve_last_epoch,curve_last_value,curve_best_epoch,curve_best_value,global_error_rank,line_label,run_path
task31,powerflownet,case57,42,0,PBL Mean,0.21550706256838406,74,74,19,4,0.3969095931333654,49,0.23187453080626094,94,0.2172671756323646,74,0.21550706256838406,13,task31|powerflownet|case57|seed=42|bp=74|err=0.215507,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/powerflownet/case57/seed=42_case=case57_lr=5e-4_7_260131_062751
task31,powerflownet,case57,43,1,PBL Mean,0.20448035387431873,94,94,20,4,0.40864823741071366,54,0.22678747440085692,99,0.21313064361319822,94,0.20448035387431873,11,task31|powerflownet|case57|seed=43|bp=94|err=0.204480,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/powerflownet/case57/seed=43_case=case57_lr=5e-4_27_260201_060045
task31,powerflownet,case57,44,2,PBL Mean,0.22038966540028068,69,69,18,4,0.41775476055986743,49,0.23755495267755844,89,0.21741046344532686,84,0.21039548884419834,15,task31|powerflownet|case57|seed=44|bp=69|err=0.220390,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task31/powerflownet/case57/seed=44_case=case57_lr=5e-4_47_260202_080514
task32,powerflownet,case14_30_57,42,0,PBL Mean,0.2019269962249131,94,94,20,4,0.40675511185465185,54,0.24811138726513962,99,0.1991564428498005,84,0.19900305826088477,8,task32|powerflownet|case14_30_57|seed=42|bp=94|err=0.201927,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task32/powerflownet/seed=42_lr=5e-4_1_260212_130220
task32,powerflownet,case14_30_57,43,1,PBL Mean,0.21802681684494019,59,59,16,4,0.416347655242887,44,0.23657392479222397,79,0.20570294353468666,74,0.20189925129043645,14,task32|powerflownet|case14_30_57|seed=43|bp=59|err=0.218027,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task32/powerflownet/seed=43_lr=5e-4_5_260212_030045
task32,powerflownet,case14_30_57,44,2,PBL Mean,0.19209879251389667,99,99,20,4,0.46213854386888703,54,0.22855409054920592,99,0.19209879251389667,99,0.19209879251389667,7,task32|powerflownet|case14_30_57|seed=44|bp=99|err=0.192099,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task32/powerflownet/seed=44_lr=5e-4_9_260212_112842
task33,powerflownet,case118_500,42,0,PBL Mean,9.624388207991919,84,84,20,4,11.3667584558328,54,10.99887623389562,99,9.885453854997953,79,9.231121862928072,59,task33|powerflownet|case118_500|seed=42|bp=84|err=9.624388,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task33/powerflownet/seed=42_lr=5e-4_1_260213_021103
task33,powerflownet,case118_500,43,1,PBL Mean,9.851152981321016,99,99,20,4,12.539323081572851,54,11.22728539009889,99,9.851152981321016,84,9.576801761984825,60,task33|powerflownet|case118_500|seed=43|bp=99|err=9.851153,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task33/powerflownet/seed=43_lr=5e-4_5_260213_083018
task33,powerflownet,case118_500,44,2,PBL Mean,9.568265323837599,94,94,20,4,12.745564411083857,54,10.952561443050703,99,9.382765526572863,99,9.382765526572863,58,task33|powerflownet|case118_500|seed=44|bp=94|err=9.568265,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task33/powerflownet/seed=44_lr=5e-4_9_260213_141722
task34,powerflownet,case14_30_118,42,0,PBL Mean,2.2754496140726683,99,99,20,4,5.422112569726747,54,2.743659120181511,99,2.2754496140726683,99,2.2754496140726683,28,task34|powerflownet|case14_30_118|seed=42|bp=99|err=2.275450,/mnt/home/donti-group-shared/ojas/pfdelta/runs/gen_feb0126/task34/powerflownet/case14_30_118/seed=42_case=case14_30_118_lr=5e-4_6_260214_031552
